0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
00101100 000001000 0
01010011 001001110 0
01001001 000110100 0
01000111 001001101 0
01000001 001100110 1
01011010 001000110 0
01010011 010000110 0
00100110 000001100 0
00011100 000110010 1
01010100 001111110 0
00110010 001010100 0
01000101 000011110 1
00111101 001100110 1
01001100 001111010 1
00101111 001001110 1
00111011 001001011 1
00000001 000000000 1
00110001 001001110 1
00100111 001000100 1
01000011 000101111 0
01011001 010001000 1
01010101 010011110 0
01011010 000111101 1
00111001 001000011 0
01000111 001001001 0
00111110 000010101 0
01010101 000010110 1
00101011 000000000 0
01001110 010010110 0
00101000 000010111 1
01010011 000100100 0
00010010 000001011 1
01001100 000111111 0
00111011 001010011 0
01000001 001110100 1
00010010 000010111 0
01010000 010000110 0
01001011 001011110 0
01010110 001010010 0
01001011 001100100 1
00100010 000000111 1
00100010 000011111 1
00111011 000010101 1
00111010 000001000 0
01001010 010010010 0
01000100 000010010 0
01010110 000101000 0
00101110 000101111 1
00100111 000000010 1
00111010 001110010 0
00100011 000111000 1
00110110 000010010 0
00100010 000010110 0
00010001 000001011 1
00111011 000010110 0
00111101 000010101 0
01001000 010000011 0
00100111 000011010 1
00101000 000010001 1
00000010 000000000 0
00101010 001000110 1
00011111 000011001 0
01011001 010011010 1
00100001 000000111 1
00011001 000001100 1
01010011 000101011 1
00101001 000010111 1
00111101 000001101 1
00110111 001101001 0
01001010 000101111 1
00011110 000001101 1
01001011 001000011 1
00011000 000011111 0
00101001 001000100 0
00100111 000111100 1
00110101 001100000 1
01010101 001010111 0
00101011 000010011 1
01010100 000100100 0
00101000 000111011 1
00111011 000001100 0
01001100 000010110 0
00100001 000111010 0
00111110 001101010 0
00100101 000001101 0
01000110 010001010 1
01000111 000110010 1
01000010 000101101 1
00111001 000001011 1
00101000 000001111 0
01001001 001111011 1
01001111 010000110 0
01001001 001011111 1
00111010 000010011 1
00100100 000110000 1
00101111 001001000 1
01001010 010001101 1
01001111 000111100 0
01011000 000010101 1
01011000 000101000 0
00110100 000100001 0
00111010 000011011 1
00011110 000010110 1
01011000 000101010 1
00010001 000001010 0
00100000 000001100 1
01001101 001001111 1
01001110 000000011 1
01000101 001000000 0
01011001 000001011 0
00111000 000001010 0
00100100 000011010 0
00111001 001000111 1
01010011 001010100 1
01011001 000110001 0
01010000 010010001 0
01001100 001111001 0
00111111 001000100 1
01001010 000010010 1
01000111 001000111 1
01010100 010010010 0
01001001 001100100 1
01001101 001010010 0
01011001 000000111 0
00111000 000010111 1
01000001 000101110 1
00101110 001001011 0
00110110 000111101 0
00110010 001001101 0
00110010 001100100 0
00101101 000010111 1
00010011 000000011 0
00111110 000100100 1
00011101 000000110 0
00110101 000101110 1
01000010 000001101 1
01010011 010000011 0
00110000 001001001 1
01000110 000110001 0
01011000 000100101 0
01010001 001000011 0
01001101 010001111 1
00111011 001000101 1
01011010 000011111 1
01000100 001010110 0
00010110 000001001 1
00010010 000011001 0
00101101 001010001 1
01000010 001001000 0
00101010 001000000 0
01010011 010100011 1
01010111 000011011 0
00100000 000111110 1
00011100 000001001 0
00100010 000110110 1
01011001 000100010 1
01000010 001111111 0
00010100 000011011 1
00110100 000011101 1
01010011 000100000 1
01001000 000011011 0
01010110 000100100 0
01000101 001001110 1
01000010 001101100 1
01001000 001110000 1
00011001 000110000 0
00100110 000010001 0
00110010 001011101 1
00110111 000010111 0
01011000 000111001 1
01000010 001010010 1
01001100 001010011 0
01010001 001111110 1
01010011 000000110 1
01001100 000101001 0
01010111 001010110 1
01010010 001111001 0
01011001 001101011 1
00111010 000001101 1
00001111 000000000 0
00111000 000110110 0
01000111 000000111 1
00101011 000101011 1
00111110 001111100 1
00110101 001100111 0
00010010 000100000 0
01010111 010010000 1
01010010 000001100 0
00110001 000110100 0
01001111 001001100 0
00110000 000011100 0
01000011 000100010 0
01010011 000011011 0
00110000 001001110 1
01010011 000111001 0
00100001 000111111 1
00101001 000111100 1
00101101 001000110 0
00110010 000010111 1
01000010 001010101 1
01010101 000011010 0
01001011 001011010 0
01001000 001000101 1
00110110 001010000 0
00101100 000101101 1
01011001 001011110 0
01001000 000101000 1
00110110 000100000 0
01001011 000001101 1
01010111 001101110 1
00111011 000100101 1
01010100 001011111 1
00010100 000100101 1
00101000 000111101 1
00111011 000111110 1
00101001 000011110 0
01000001 000100101 0
01011001 000010001 0
01001010 010001001 1
01011000 001011111 1
01000010 001110011 0
01010000 001110011 0
01000000 001001001 0
01000010 001111011 0
00111110 001100101 1
00010000 000011001 0
00110001 000011001 0
01001011 001000101 1
01001010 010010001 0
01010110 000110000 0
00100111 000110100 1
01000011 001010010 0
00011100 000011000 1
00111011 001010000 0
00111111 001001010 0
00111000 000101101 0
00110010 000101101 1
01000101 001010001 0
00110001 000100110 0
00111101 000101010 0
00110000 000100000 1
01001101 001110011 0
00110110 000110101 0
01000100 001101000 0
01010001 000100101 1
00110000 000111010 0
00111110 000101000 1
00101100 000001100 0
01000101 000000010 1
01010100 001010110 0
01000001 000010111 1
00100101 000100010 0
01011000 000101001 0
01001011 010001010 1
00111000 000111100 1
01010010 010100010 1
00111000 001000011 1
01000101 000101011 0
01001110 001111000 1
01001011 001010011 1
00110011 000111010 0
01000010 001011000 0
01010100 000111101 1
01010010 010010001 0
01010111 010010100 1
00101011 000000000 1
00100110 001000011 0
00100100 000001110 0
01011001 001101000 0
01000100 001100101 0
01011000 010010010 0
01000010 001101011 1
01010111 000001000 0
01001110 001101001 0
00110010 001010111 1
01001111 001001101 0
00101101 001010011 0
01011001 000110101 0
00011111 000000010 1
01010110 001001111 0
01011000 000000000 1
00100110 001001001 1
00101001 000010001 1
00111100 000100110 0
01000110 001010101 0
01000101 010000111 1
01000010 001101001 0
01010100 000011100 1
01010011 000010111 0
00111111 001010111 1
01010101 010000110 0
01010101 000011111 0
00101110 000001010 1
00111000 001001001 1
00101000 000010100 0
01010001 010001001 0
01011001 010110010 0
00101110 001000111 1
01010110 010001011 1
00101010 000011111 1
01010110 000101000 1
00111011 000011100 0
00110101 001011001 1
01010011 000101111 0
01011001 000111111 1
01010010 001001111 0
01001111 010000110 0
00011101 000010000 0
01011001 000000000 0
00011111 000111000 0
01000000 000110110 0
01010000 000110010 0
00101011 000111101 0
01001001 000111011 1
00110000 000111010 0
00111110 000000010 0
01011010 001010001 0
00010010 000100010 0
01001001 001111100 1
01010010 001101110 0
01011001 001010010 0
00001100 000010100 0
01000100 001000100 0
00010100 000001000 0
00101011 000000000 1
01000111 000100011 1
01001000 001000101 1
01001001 001000001 1
00001111 000000101 0
01011000 001101010 1
01000010 000100100 1
00100010 000101110 0
01000011 000110010 0
01000100 001000111 0
01010101 001011001 0
01011000 000000101 1
00011011 000100101 1
01010010 010001011 1
00110101 000000000 1
00010000 000010001 1
00100010 000001111 0
01010111 000111111 1
00100001 000100101 1
01000110 001111000 0
00000011 000000100 0
01000001 000100001 1
01000100 000100011 1
00101001 000111011 0
00101011 001010010 1
01010101 001110010 1
01001100 001101010 1
01010010 000011111 1
01011000 000000001 0
01000111 000100101 0
01001000 001001111 1
00110100 000010010 1
00011111 000110010 0
01010100 001001010 0
01011000 000010110 1
01010100 000100011 1
00110110 001000110 0
01010001 001100101 1
01001110 001010101 0
00011010 000001000 1
01010000 000010001 1
01010011 010000011 0
01001010 001110001 1
00011010 000011000 0
00111100 001000001 0
00011011 000010011 1
01000001 001101011 0
00111000 001001010 1
00100010 000111101 0
00111111 001111000 1
01011010 001000010 0
00001001 000000100 0
00100010 000010111 0
01001001 000001101 0
00010101 000010111 0
01010111 001000011 0
01000111 001100000 1
00111100 000101000 0
00011100 000010010 1
00101010 000110111 1
00110011 000011011 0
01000111 001110100 0
00011110 000110000 0
00010101 000001001 1
00010110 000010100 1
00100010 000100000 0
01000110 001011110 0
01000011 001110010 0
00011100 000001101 0
01010001 001011111 0
01000111 010000100 0
01001001 001101010 1
00101110 000000101 1
01010111 000100011 0
00101011 000101000 1
00110010 001000000 0
01010100 001000111 0
00111100 000010010 1
01010101 001110100 0
01001110 000011100 0
01000010 000010101 0
00111110 000010101 0
00100000 000000110 1
00110101 000111101 1
01000000 000001111 1
00111000 001011011 1
00110111 001000010 1
00100100 000110001 0
01001110 000110100 0
01001011 010010010 0
01000010 001011001 0
01010110 000110101 0
00111011 000011110 0
01001100 001010000 1
00010100 000100110 0
01000011 001001100 1
01000010 000110110 1
01001110 010010110 1
01011001 001101101 0
01001110 001111100 0
00110011 000101111 1
01010010 010011100 1
00011000 000011110 1
00111000 000010100 1
00110000 000100010 1
00110110 001010011 0
01000011 001101010 0
01010100 001101110 0
01000101 001100010 1
00101000 000110101 1
01010100 001101010 1
01010111 000001001 0
01001011 001111110 0
01010001 001001101 1
01000100 001101010 0
01010010 000110100 0
00011111 000000111 0
00101000 001000101 1
01000101 001010001 0
01010111 010101000 0
00111111 001001111 1
00100111 000000110 0
00100010 000000010 1
00011111 000000100 0
00110000 000000000 1
01001101 000001100 1
01001001 010000111 0
01001000 001100100 0
01001111 010000101 1
00011000 000000000 1
01001111 010001001 1
01010110 001100000 0
01010001 001011011 0
01010010 010001010 0
00110010 000000011 1
00110111 000111000 1
00101100 000111101 1
01010101 001110000 0
01001111 010011101 1
01010101 000101011 1
01001110 010011010 0
01011001 001000011 1
01010001 010011010 1
01000001 001010011 0
01011000 001100100 1
00011101 000101111 0
01000001 000010010 0
00000001 000000010 0
00111011 001010011 0
01011001 010010000 1
00100101 000000111 1
00101111 000010100 0
01001000 000001110 0
01001001 001010111 1
01001011 001100110 1
01001010 000101000 0
01001110 001101000 0
01000101 000001100 0
01011010 000010101 0
01000010 001111100 0
01001011 010010100 1
01010110 010001001 1
01010000 001101110 0
01010010 000001101 1
00101001 000110101 1
01010101 000011011 0
00100011 000010111 1
00110010 001001001 0
01011010 000001101 1
01010001 010001100 1
00101100 000100010 0
00110110 000101111 0
01001010 010001011 0
01010100 000110101 0
01000001 001110010 1
01010100 000111010 0
01001011 000000111 1
01010000 000101110 0
01010010 001000110 0
00001010 000001011 0
00001100 000000111 0
01010110 001010110 1
01010111 000010100 1
01011001 000000101 0
01001101 000000001 1
01010000 000011011 0
00111001 001010110 0
00101110 000001001 1
01010000 001010110 0
00110011 001011011 1
00111100 001101010 1
01011001 000101000 0
01001110 001010011 1
00110001 000100011 1
00110111 000000000 0
00001100 000001000 1
00010001 000011101 1
00100000 000111000 0
00111001 000001100 1
00101101 000000111 0
00110101 001010110 1
00110001 001010010 1
00101111 000100101 0
01011000 001101101 0
00101011 001000111 0
00001110 000011100 1
01001100 000000001 0
01001101 000010100 1
01010001 001001011 0
01001010 000100110 1
00100011 000010001 0
01010110 001110100 1
00011001 000011101 1
01010111 001001100 0
00010011 000011000 0
00100011 000101011 0
01000001 001111011 0
01010100 000001000 1
01001111 000010111 0
01011001 000111111 0
00100111 000001111 0
01001110 001011000 0
01001000 000010111 0
01000110 000110101 1
01001001 000001110 0
01010110 001101110 0
01001010 001111000 1
01001000 000111111 0
01000011 001000111 0
01000111 000110110 0
01011000 000000111 0
01010101 010010100 0
01010011 000000000 0
01000001 001101000 1
01010001 001111111 1
01001011 001010111 0
00101111 000001110 1
00100101 001000001 1
01010010 001101111 0
01000011 001011011 1
00101000 000000101 1
01001010 000000000 1
01001100 000000111 0
01000010 001011100 0
01001001 001010101 1
01000011 010000000 1
00110001 001010010 0
00111111 001000110 0
01010101 000100010 1
01011010 001000011 1
01000100 001000001 1
00111110 000110010 0
01000010 001011001 0
01010010 010011100 1
00011000 000100110 0
00010011 000001101 0
01010101 000111001 0
01010011 001110000 0
01011000 010100010 1
00111001 000110110 1
01010000 000000001 0
00010100 000100001 0
01011010 000110010 0
00001100 000000010 1
01001010 001001010 1
00111111 001010011 0
01010111 001000101 1
00100101 000001100 0
00010010 000000111 1
01010011 000111001 1
00101110 000110101 1
00100000 000111010 0
00101110 000101011 0
00010101 000100111 0
00100100 000110100 0
00011010 000001011 1
01000110 000001001 1
00100111 000110110 1
00111001 001010011 1
01010100 000001111 1
00110101 001001010 1
01010000 001111000 1
01001101 000010101 1
00111010 000110000 0
00111011 000110101 0
01000110 001111110 0
01000011 001011111 1
00111101 001100011 1
00111001 000001001 0
00101011 001010010 0
01011000 010101010 0
01010101 000010011 1
00110000 000011001 1
01010110 000100100 0
01011000 001111101 1
01010000 000010000 0
00010001 000010001 1
01001000 001000100 1
01000110 000011101 0
00011000 000001110 0
00101010 000101011 1
00011100 000000010 1
01011001 010001010 0
01010011 001001000 1
01011000 000110100 0
00110111 000111110 1
00010011 000100101 0
00111101 001100110 0
01001001 000101001 0
01001010 001010101 0
00011010 000001010 0
00110011 001011110 1
00100101 000011110 0
01001100 000110001 1
01011001 001001010 0
01000011 001100000 1
01001101 000100011 0
00011101 000110011 1
01000010 000001000 1
01010000 001100010 1
00010000 000001100 0
00011100 000010011 0
00100110 000110001 1
01010100 000101010 1
01010010 001001011 0
01010011 000001101 1
00110000 001001110 0
00111111 001011001 0
01010100 010100011 0
01011010 001001000 1
01010110 000101100 0
00101011 000010110 0
00100000 000111101 1
00011111 000000110 1
01001000 001000111 1
00101101 000110011 1
00101000 000101001 1
00111101 000111111 0
00100111 000110010 1
01001100 010000000 1
00110110 001010101 1
01010011 000010010 1
01001110 001110001 1
01011001 001001111 1
00111011 001001001 1
01000110 000101011 0
00001110 000011100 0
01000100 001100000 1
01001111 000010011 1
01011000 001110001 1
01011000 010010111 1
00111110 001100111 1
00010110 000001011 1
01000011 000111000 1
00010110 000001000 0
00001100 000001000 1
01000001 000101000 0
01000100 010000110 1
00111001 000111100 0
00101000 000100111 0
00011001 000101110 0
01001100 000010100 0
01000000 001111000 1
01001110 000101011 0
01010101 001011001 1
00101111 000011111 0
01001101 000110100 0
01000100 001101011 1
00111111 000110000 1
01010001 001101100 1
01001011 000000011 1
00111100 001100001 1
01001001 010000101 0
00100010 000011110 0
00100010 000110011 1
00101101 000110100 0
01010100 001111000 0
01001011 001001000 1
00100000 000101101 0
01000000 001110001 0
01001100 000101100 1
00110111 001010010 1
00001110 000000111 1
01010110 000010111 0
01011010 000000010 0
01001100 010000011 1
00110000 000001001 1
01011000 010011101 0
00110011 001011000 1
01000000 001101001 0
01000100 000100111 1
00111100 000101011 1
01011010 000101001 0
00011000 000000000 1
00110110 001000110 0
01010000 000111000 1
00111110 000000110 1
00110100 001000100 1
00100010 001000100 0
01010000 001010100 1
00101110 001000111 0
01001110 001011000 1
01001010 010000111 0
01010010 001110001 1
01000110 001010111 0
01010111 010000011 0
00101111 001010000 1
00111111 001000101 0
01000100 001100001 1
01001100 001010111 1
00111000 000001010 0
01010110 001000100 1
00111001 001100111 0
01000010 000000000 1
01000111 000100110 0
01001101 000001101 0
00010100 000010111 1
01010000 000001100 0
00111110 000010010 1
00100100 000111100 0
00111110 001011101 1
00011001 000101000 0
01001000 001000011 1
01001100 001010001 0
00101011 000101100 0
00010001 000001001 1
01001111 001010011 1
01010000 001101001 0
00110000 000110010 0
00011111 000010000 1
00011110 000010001 1
01011010 000110101 1
01010110 010000001 0
00101000 001000111 0
00100010 000111101 1
01000001 001011111 0
00001100 000010110 1
00101010 000000101 0
01000000 001111100 0
00011110 000001111 1
01010111 010010101 1
01001110 000111101 1
00101001 000111101 0
01000111 001101010 1
01000011 010000100 0
00111111 001101110 0
00111101 000110100 0
00011110 000011011 1
00111100 001000000 1
00110001 001011000 1
00110110 000100001 0
00100000 000111001 1
01001110 000111100 0
01000001 001000101 1
00111110 001111011 1
01000011 000000100 1
01000101 000111011 0
01000001 000001011 1
01000001 000101010 1
00010101 000000001 1
00111100 000000011 0
00110000 000001101 1
01000111 010001000 1
01000110 000100111 0
01001110 001110101 1
01000000 000011000 1
01000100 001100000 0
00111100 001001010 1
00111110 001001100 1
